Run: dataset2_augs
Path: /home/dsa/stenosis/rfdetr_runs/dataset2_augs
Config: T=1 (single-frame)  img_size=512  num_classes=1

==========================================================================================
Dataset: cadica_50plus_new
  videos=160  frames=2215
==========================================================================================

Per-video metrics:
  video          frames   gt    AP30   AP50   AP75 AP5095      F1      P      R    thr   Frag  FragRt
  p11_v10            20   20   0.044  0.004  0.000  0.001   0.022  0.012  0.100  0.070      0  0.0000
  p11_v14             9    9   0.230  0.028  0.000  0.004   0.118  0.125  0.111  0.290      0  0.0000
  p11_v16            18    2   0.667  0.667  0.000  0.234   0.667  0.500  1.000  0.390      0  0.0000
  p11_v17            17   16   0.590  0.154  0.000  0.027   0.276  0.308  0.250  0.270      2  0.1250
  p11_v18            14   14   0.275  0.004  0.000  0.000   0.034  0.022  0.071  0.130      0  0.0000
  p11_v8             16   16   0.051  0.003  0.000  0.001   0.022  0.014  0.062  0.110      0  0.0000
  p11_v9             11   11   0.029  0.011  0.000  0.002   0.033  0.018  0.273  0.050      0  0.0000
  p12_v1             15   18   0.051  0.005  0.000  0.001   0.024  0.014  0.111  0.090      0  0.0000
  p12_v11            10    9   0.009  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p12_v16             9   26   0.040  0.001  0.000  0.000   0.008  0.004  0.154  0.020      0  0.0000
  p12_v17             1    4   0.051  0.008  0.000  0.001   0.053  0.029  0.250  0.040      0  0.0000
  p12_v2             23   23   0.010  0.001  0.000  0.000   0.005  0.003  0.304  0.020      0  0.0000
  p12_v22            10   20   0.341  0.061  0.000  0.012   0.177  0.108  0.500  0.080      0  0.0000
  p12_v7             28   28   0.364  0.364  0.067  0.132   0.476  0.357  0.714  0.280      2  0.0714
  p12_v8             23   46   0.469  0.327  0.021  0.076   0.480  0.444  0.522  0.240      1  0.0217
  p13_v10             4    4   0.008  0.000  0.000  0.000   0.003  0.001  0.250  0.000      0  0.0000
  p13_v14             4    4   0.168  0.063  0.000  0.019   0.167  0.125  0.250  0.170      0  0.0000
  p13_v5             20   20   0.233  0.045  0.000  0.009   0.136  0.103  0.200  0.180      1  0.0500
  p14_v1             19   38   0.345  0.265  0.008  0.072   0.400  0.287  0.658  0.110      0  0.0000
  p14_v10             1    2   0.050  0.011  0.000  0.002   0.017  0.008  0.500  0.020      0  0.0000
