epoch,step,test/AP/Stenosis,test/F1,test/loss,test/mAP_50,test/mAP_50_95,test/mAP_75,test/mAR,test/precision,test/recall,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/Stenosis,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0769230357254855e-05,1.0769230357254855e-05,3.48122284776764e-07,,,,,,,,,,,,
0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2620641427929513e-05,0.004409333225339651,7.279208512045443e-05,1.4349758203024976e-05,0.004226475488394499,8.652909278869629,5.722013156628236e-05,1.2620641427929513e-05,5.749704087065766e-06,0.0051834131591022015,0.0024916944094002247,0.019138755276799202
0,90,,,,,,,,,,1.7265840768814087,11.017390251159668,7.206783771514893,653.3178100585938,99.99470520019531,11.13348388671875,0.1147058978676796,0.14627870917320251,0.12875621020793915,0.15122269093990326,0.4874429702758789,0.4336397051811218,0.46058183908462524,0.4314863085746765,0.7808573842048645,0.8486555218696594,0.8038815259933472,0.8743624687194824,,,,,,,,,,,,,,,
1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1758241928182542e-05,2.1758241928182542e-05,7.033491442598461e-07,,,,,,,,,,,,
1,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2747251680120826e-05,3.2747251680120826e-05,1.0585760037429282e-06,,,,,,,,,,,,
1,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013644690625369549,0.02574770338833332,0.006685364991426468,0.0013869646936655045,0.18317385017871857,8.826770782470703,0.006645337678492069,0.0013644690625369549,8.621309098089114e-05,0.17767144739627838,0.014279494993388653,0.13078150153160095
1,181,,,,,,,,,,2316.660888671875,2521.927978515625,2344.795166015625,3067.380615234375,38.749473571777344,8.759589195251465,0.05044817179441452,0.05409742891788483,0.05248478427529335,0.0566219836473465,0.910190999507904,0.8601434230804443,0.8826347589492798,0.7963829636573792,0.5068703293800354,0.5338324904441833,0.5218532085418701,0.5584319829940796,,,,,,,,,,,,,,,
2,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3736265070037916e-05,4.3736265070037916e-05,1.4138028063825914e-06,,,,,,,,,,,,
2,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47252748219762e-05,5.47252748219762e-05,1.7690296090222546e-06,,,,,,,,,,,,
2,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009257328696548939,0.11650485545396805,0.0720086321234703,0.014941668137907982,0.2248803824186325,8.695548057556152,0.047504957765340805,0.009257328696548939,0.0005841358215548098,0.19393938779830933,0.13861386477947235,0.10047847032546997
