epoch,step,test/AP/stenosis,test/F1,test/loss,test/mAP_30,test/mAP_50,test/mAP_50_95,test/mAP_75,test/mAR,test/precision,test/recall,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/stenosis,val/F1,val/ema_mAP_30,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_30,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.686403604457155e-06,2.686403604457155e-06,8.683971941536583e-08,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.427631549537182e-06,5.427631549537182e-06,1.754516745222645e-07,,,,,,,,,,,,,,
0,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.168859494617209e-06,8.168859494617209e-06,2.640636296291632e-07,,,,,,,,,,,,,,
0,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0910087439697236e-05,1.0910087439697236e-05,3.5267558473606186e-07,,,,,,,,,,,,,,
0,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009905220940709114,0.0015680125216022134,0.009978854097425938,0.009900989942252636,0.0019801980815827847,0.0003189792623743415,12.272477149963379,0.009963219054043293,0.009900989942252636,0.0009905220940709114,0.0,0.00039872407796792686,0.0010395010467618704,0.003189792623743415
0,227,,,,,,,,,,,1.5852521657943726,9.567023277282715,5.4305100440979,5.848958492279053,188.53892517089844,99.98777770996094,15.637715339660645,0.14310313761234283,0.211910679936409,0.168950617313385,0.1539972722530365,0.2286146879196167,0.4394598603248596,0.33896729350090027,0.38816148042678833,0.4091949760913849,0.31669771671295166,0.8484814763069153,0.972602903842926,0.8935852646827698,0.8774045705795288,1.0141059160232544,,,,,,,,,,,,,,,,,
1,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3651315384777263e-05,1.3651315384777263e-05,4.4128753984296054e-07,,,,,,,,,,,,,,
1,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.639254332985729e-05,1.639254332985729e-05,5.298995233715686e-07,,,,,,,,,,,,,,
1,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9133771274937317e-05,1.9133771274937317e-05,6.185114784784673e-07,,,,,,,,,,,,,,
1,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1874999220017344e-05,2.1874999220017344e-05,7.07123433585366e-07,,,,,,,,,,,,,,
1,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.461622716509737e-05,2.461622716509737e-05,7.957353886922647e-07,,,,,,,,,,,,,,
1,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00043925223872065544,0.015673981979489326,0.008616377599537373,0.0009639566414989531,0.000172831816598773,0.11770334839820862,11.243304252624512,0.01393045298755169,0.002158848335966468,0.00043925223872065544,4.9589656555326656e-05,0.14098884165287018,0.015408320352435112,0.015948962420225143
1,455,,,,,,,,,,,1965.81787109375,1358.726806640625,1363.3321533203125,1824.1314697265625,2089.57763671875,44.96219253540039,12.891539573669434,0.08584219962358475,0.1070932000875473,0.09215068817138672,0.0884443148970604,0.11793243139982224,0.7229682803153992,0.5765708088874817,0.6344263553619385,0.6887571215629578,0.5297297239303589,0.6653292179107666,0.768775999546051,0.7007909417152405,0.6837849020957947,0.8222017288208008,,,,,,,,,,,,,,,,,
2,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73574569291668e-05,2.73574569291668e-05,8.843473437991634e-07,,,,,,,,,,,,,,
2,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0098684874246828e-05,3.0098684874246828e-05,9.729592420626432e-07,,,,,,,,,,,,,,
2,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.283991100033745e-05,3.283991100033745e-05,1.0615711971695418e-06,,,,,,,,,,,,,,
2,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.558113894541748e-05,3.558113894541748e-05,1.1501831522764405e-06,,,,,,,,,,,,,,
2,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008835378102958202,0.024985473603010178,0.03473858907818794,0.0064440397545695305,0.0011179996654391289,0.15741626918315887,11.250048637390137,0.029760761186480522,0.005046057049185038,0.0008835378102958202,2.817164386215154e-05,0.16610845923423767,0.014219576492905617,0.10287081450223923
2,683,,,,,,,,,,,3884.142578125,3819.93017578125,3820.966064453125,3865.927734375,3842.945556640625,0.03903970867395401,12.138903617858887,0.06635784357786179,0.08037333190441132,0.07324356585741043,0.06918688118457794,0.0933775007724762,0.9038040637969971,0.7846099734306335,0.8509083390235901,0.8820418119430542,0.6818168759346008,0.5518762469291687,0.6327970027923584,0.5919305086135864,0.5694385170936584,0.7154765129089355,,,,,,,,,,,,,,,,,
3,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8322366890497506e-05,3.8322366890497506e-05,1.2387951073833392e-06,,,,,,,,,,,,,,
3,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.106359483557753e-05,4.106359483557753e-05,1.3274070624902379e-06,,,,,,,,,,,,,,
3,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.380482278065756e-05,4.380482278065756e-05,1.4160190175971366e-06,,,,,,,,,,,,,,
3,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6546054363716394e-05,4.6546054363716394e-05,1.5046309727040352e-06,,,,,,,,,,,,,,
3,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.928728230879642e-05,4.928728230879642e-05,1.593242927810934e-06,,,,,,,,,,,,,,
3,911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013331381604075432,0.12442631274461746,0.07414523512125015,0.03731422498822212,0.009213581681251526,0.18253588676452637,11.167879104614258,0.0988997370004654,0.057020701467990875,0.013331381604075432,0.0004727954510599375,0.20645932853221893,0.17256011068820953,0.09728867560625076
3,911,,,,,,,,,,,3883.611328125,3840.549072265625,3823.705810546875,3870.051025390625,3895.291015625,0.0008432446629740298,11.493694305419922,0.05284888669848442,0.06375101208686829,0.05933304503560066,0.0555514395236969,0.07943283766508102,0.9817602038383484,0.904570460319519,0.935667097568512,0.9595267176628113,0.7970324158668518,0.4778779447078705,0.5452927947044373,0.5154820680618286,0.4946296811103821,0.6469918489456177,,,,,,,,,,,,,,,,,
4,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.202851025387645e-05,5.202851025387645e-05,1.6818549966046703e-06,,,,,,,,,,,,,,
4,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4769738198956475e-05,5.4769738198956475e-05,1.770466951711569e-06,,,,,,,,,,,,,,
4,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75109661440365e-05,5.75109661440365e-05,1.8590789068184677e-06,,,,,,,,,,,,,,
4,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.025219408911653e-05,6.025219408911653e-05,1.9476908619253663e-06,,,,,,,,,,,,,,
4,1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020313262939453125,0.1768834888935089,0.1437121331691742,0.07596834003925323,0.017991840839385986,0.2441786229610443,11.010039329528809,0.20340141654014587,0.09170085191726685,0.020313262939453125,0.0013990987790748477,0.23612439632415771,0.2140430361032486,0.15071770548820496
4,1139,,,,,,,,,,,3886.9892578125,3864.3388671875,3859.739501953125,3880.621337890625,3894.4150390625,0.013331078924238682,10.678857803344727,0.04383174329996109,0.049007441848516464,0.046636294573545456,0.04501226544380188,0.056050095707178116,1.0127567052841187,0.9992456436157227,1.0065850019454956,1.0090811252593994,0.9648737907409668,0.42337217926979065,0.45105934143066406,0.4367969334125519,0.4294450581073761,0.50114506483078,,,,,,,,,,,,,,,,,
