epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/stenosis,val/F1,val/ema_mAP_30,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_30,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,2.686403604457155e-06,2.686403604457155e-06,8.683971941536583e-08,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,,5.427631549537182e-06,5.427631549537182e-06,1.754516745222645e-07,,,,,,,,,,,,,,
0,149,,,,,,,,,,,,,,,,,,,8.168859494617209e-06,8.168859494617209e-06,2.640636296291632e-07,,,,,,,,,,,,,,
0,199,,,,,,,,,,,,,,,,,,,1.0910087439697236e-05,1.0910087439697236e-05,3.5267558473606186e-07,,,,,,,,,,,,,,
0,227,,,,,,,,,,,,,,,,,,,,,,2.538627086323686e-06,0.002316378755494952,0.00019556388724595308,3.467947317403741e-05,5.617382157652173e-06,0.002551834098994732,9.003500938415527,0.00017637034761719406,1.3227775525592733e-05,2.538627086323686e-06,0.0,0.001754386001266539,0.0013176677748560905,0.009569377638399601
0,227,3.6624176502227783,25.126371383666992,9.07620620727539,244.39364624023438,99.95446014404297,11.651822090148926,0.12839511036872864,0.16964112222194672,0.1428680419921875,0.18127132952213287,0.477264404296875,0.4207811951637268,0.44885173439979553,0.40437260270118713,0.7986461520195007,0.8734228014945984,0.8220804929733276,0.9006888270378113,,,,,,,,,,,,,,,,,
1,249,,,,,,,,,,,,,,,,,,,1.3651315384777263e-05,1.3651315384777263e-05,4.4128753984296054e-07,,,,,,,,,,,,,,
1,299,,,,,,,,,,,,,,,,,,,1.639254332985729e-05,1.639254332985729e-05,5.298995233715686e-07,,,,,,,,,,,,,,
1,349,,,,,,,,,,,,,,,,,,,1.9133771274937317e-05,1.9133771274937317e-05,6.185114784784673e-07,,,,,,,,,,,,,,
1,399,,,,,,,,,,,,,,,,,,,2.1874999220017344e-05,2.1874999220017344e-05,7.07123433585366e-07,,,,,,,,,,,,,,
1,449,,,,,,,,,,,,,,,,,,,2.461622716509737e-05,2.461622716509737e-05,7.957353886922647e-07,,,,,,,,,,,,,,
1,455,,,,,,,,,,,,,,,,,,,,,,0.0012428127229213715,0.027117136865854263,0.02259652502834797,0.007709349039942026,0.0014981984859332442,0.1521531045436859,8.81333065032959,0.03526877984404564,0.006575958337634802,0.0012428127229213715,3.212527008145116e-05,0.1579744815826416,0.01879815012216568,0.04864433780312538
1,455,2451.118896484375,2513.646728515625,2363.910400390625,2358.940185546875,36.7004280090332,9.587207794189453,0.07277116179466248,0.08101335912942886,0.07649993896484375,0.08477117121219635,0.8103535175323486,0.7375587821006775,0.7725263237953186,0.6785743236541748,0.5923771262168884,0.6383426189422607,0.6125329732894897,0.6632078289985657,,,,,,,,,,,,,,,,,
2,499,,,,,,,,,,,,,,,,,,,2.73574569291668e-05,2.73574569291668e-05,8.843473437991634e-07,,,,,,,,,,,,,,
2,549,,,,,,,,,,,,,,,,,,,3.0098684874246828e-05,3.0098684874246828e-05,9.729592420626432e-07,,,,,,,,,,,,,,
2,599,,,,,,,,,,,,,,,,,,,3.283991100033745e-05,3.283991100033745e-05,1.0615711971695418e-06,,,,,,,,,,,,,,
2,649,,,,,,,,,,,,,,,,,,,3.558113894541748e-05,3.558113894541748e-05,1.1501831522764405e-06,,,,,,,,,,,,,,
2,683,,,,,,,,,,,,,,,,,,,,,,0.004522934090346098,0.06844106316566467,0.06256214529275894,0.012827682308852673,0.002560093067586422,0.17639553546905518,8.816080093383789,0.09328118711709976,0.019602501764893532,0.004522934090346098,0.0013602785766124725,0.1666666716337204,0.05678233504295349,0.08612440526485443
2,683,3890.58740234375,3888.13818359375,3871.235107421875,3886.3701171875,0.003343477612361312,9.021758079528809,0.05428402125835419,0.059404466301202774,0.0571405403316021,0.06285528838634491,0.9775407314300537,0.9394738674163818,0.9553543925285339,0.902101993560791,0.48450684547424316,0.515074610710144,0.5002620816230774,0.5395939350128174,,,,,,,,,,,,,,,,,
3,699,,,,,,,,,,,,,,,,,,,3.8322366890497506e-05,3.8322366890497506e-05,1.2387951073833392e-06,,,,,,,,,,,,,,
3,749,,,,,,,,,,,,,,,,,,,4.106359483557753e-05,4.106359483557753e-05,1.3274070624902379e-06,,,,,,,,,,,,,,
3,799,,,,,,,,,,,,,,,,,,,4.380482278065756e-05,4.380482278065756e-05,1.4160190175971366e-06,,,,,,,,,,,,,,
3,849,,,,,,,,,,,,,,,,,,,4.6546054363716394e-05,4.6546054363716394e-05,1.5046309727040352e-06,,,,,,,,,,,,,,
3,899,,,,,,,,,,,,,,,,,,,4.928728230879642e-05,4.928728230879642e-05,1.593242927810934e-06,,,,,,,,,,,,,,
3,911,,,,,,,,,,,,,,,,,,,,,,0.02798551879823208,0.18527792394161224,0.16187478601932526,0.05461351200938225,0.012131167575716972,0.17424242198467255,8.815842628479004,0.1767815500497818,0.1050632894039154,0.02798551879823208,0.002536785090342164,0.19290271401405334,0.24899058043956757,0.14752790331840515
3,911,3881.507568359375,3889.135986328125,3856.78564453125,3897.65234375,0.00927779171615839,8.44295597076416,0.04410859942436218,0.04669542983174324,0.045109622180461884,0.048452600836753845,1.0066341161727905,0.9913631677627563,1.0015076398849487,0.9889334440231323,0.42932048439979553,0.44408202171325684,0.43434423208236694,0.4585989713668823,,,,,,,,,,,,,,,,,
4,949,,,,,,,,,,,,,,,,,,,5.202851025387645e-05,5.202851025387645e-05,1.6818549966046703e-06,,,,,,,,,,,,,,
4,999,,,,,,,,,,,,,,,,,,,5.4769738198956475e-05,5.4769738198956475e-05,1.770466951711569e-06,,,,,,,,,,,,,,
4,1049,,,,,,,,,,,,,,,,,,,5.75109661440365e-05,5.75109661440365e-05,1.8590789068184677e-06,,,,,,,,,,,,,,
4,1099,,,,,,,,,,,,,,,,,,,6.025219408911653e-05,6.025219408911653e-05,1.9476908619253663e-06,,,,,,,,,,,,,,
4,1139,,,,,,,,,,,,,,,,,,,,,,0.02507886104285717,0.19366852939128876,0.20377217233181,0.0922446995973587,0.021648451685905457,0.19154705107212067,8.55070686340332,0.2290434092283249,0.10775094479322433,0.02507886104285717,0.001088174874894321,0.2229665070772171,0.23266218602657318,0.16586922109127045
4,1139,3869.529052734375,3872.3525390625,3838.310546875,3892.49462890625,0.007098879665136337,8.200316429138184,0.042432576417922974,0.044727448374032974,0.04306977987289429,0.047232355922460556,0.9812232851982117,0.972206711769104,0.9820163249969482,0.9599581360816956,0.41685283184051514,0.42781123518943787,0.41799619793891907,0.4461360275745392,,,,,,,,,,,,,,,,,
5,1149,,,,,,,,,,,,,,,,,,,6.299342203419656e-05,6.299342203419656e-05,2.0363027033454273e-06,,,,,,,,,,,,,,
5,1199,,,,,,,,,,,,,,,,,,,6.573464634129778e-05,6.573464634129778e-05,2.1249147721391637e-06,,,,,,,,,,,,,,
5,1249,,,,,,,,,,,,,,,,,,,6.847587792435661e-05,6.847587792435661e-05,2.2135266135592246e-06,,,,,,,,,,,,,,
5,1299,,,,,,,,,,,,,,,,,,,7.121710223145783e-05,7.121710223145783e-05,2.302138682352961e-06,,,,,,,,,,,,,,
5,1349,,,,,,,,,,,,,,,,,,,7.395833381451666e-05,7.395833381451666e-05,2.390750523773022e-06,,,,,,,,,,,,,,
5,1367,,,,,,,,,,,,,,,,,,,,,,0.0269294586032629,0.21297672390937805,0.27016234397888184,0.14194054901599884,0.03369288519024849,0.20661881566047668,8.591193199157715,0.270840048789978,0.11910929530858994,0.0269294586032629,0.0013577111531049013,0.20813396573066711,0.2810457646846771,0.1714513599872589
5,1367,3872.343017578125,3867.23583984375,3851.0048828125,3886.073974609375,0.008012608624994755,7.973498344421387,0.04094232618808746,0.0420430526137352,0.04101615026593208,0.04467569291591644,0.9531283378601074,0.9635504484176636,0.9606785774230957,0.9450271725654602,0.4093535840511322,0.4090780019760132,0.406535804271698,0.42889612913131714,,,,,,,,,,,,,,,,,
